,umpd_case_number,occured_date_time_location,report_date_time,_type,disposition,location
238,2014-00005896,02/09/14 13:27,02/09/14 13:27,CDS Violation,Arrest,"Leonardtown #241, Leonardtown at 241  Norwich  Rd"
239,2014-00005914,02/09/14 16:00,02/09/14 17:55,Theft,Active/Pending,68  Farm  Dr
240,2014-00005921,02/09/14 20:05,02/09/14 20:05,Injured/Sick Person,CBE,Ellicott Area Dining Hall at 257  Farm  Dr
241,2014-00005956,02/10/14 08:22,02/10/14 08:22,Traffic Arrest,Arrest,University  Bl
242,2014-00005968,02/07/14 16:30,02/10/14 09:35,Vandalism,Suspended,Elkton Hall at 254  Denton  Dr
243,2014-00005970,02/10/14 10:44,02/10/14 10:44,Injured/Sick Person,CBE,"Eppley Recreation Center, ERC at 68  Farm  Dr"
244,2014-00005974,02/10/14 11:27,02/10/14 11:27,DWI/DUI,Arrest,Lot C1
245,2014-00005976,02/07/14 09:00,02/10/14 11:41,Burglary,Suspended,98  Valley  Dr
246,2014-00005984,02/10/14 13:10,02/10/14 13:10,Alarm,Active/Pending,"A.V. Williams Building, AV Williams at 115  Paint Branch  Dr"
247,2014-00005985,02/10/14 13:12,02/10/14 13:12,Damage to State Property,CBE,South Gate at 401  Regents  Dr
248,2014-00005986,02/09/14 01:28,02/10/14 13:14,Vandalism,Active/Pending,Commons 3 at 4318  Knox  Rd
249,2014-00005990,02/09/14 03:00,02/10/14 13:11,Sex Offense,CBE,240 block of  Yale  Ave
250,2014-00006091,02/11/14 00:15,02/11/14 00:15,CDS Violation,Arrest,North Gate at 295  Campus  Dr
251,2014-00006181,02/10/14 11:50,02/11/14 12:13,Theft,Suspended,82  Regents  Dr
252,2014-00006192,02/11/14 14:30,02/11/14 14:50,Injured/Sick Person,CBE,Talbot Hall at 30  Chapel  Dr
253,2014-00006194,02/11/14 14:30,02/11/14 15:35,Burglary,Suspended,Animal Science Building at 142  Industrial  La
254,2014-00006286,02/12/14 01:03,02/12/14 01:03,Injured/Sick Person,CBE,Yale  Ave
255,2014-00006290,02/12/14 01:35,02/12/14 01:35,Injured/Sick Person,CBE,7500 block of  Hopkins  Ave
256,2014-00006293,02/12/14 02:02,02/12/14 02:02,Alcohol Violation,Arrest,"Looney's Pub, The Varsity at 8150  Baltimore  Ave"
257,2014-00006327,02/12/14 08:57,02/12/14 08:57,Suspicious Activity,CBE,250 block of  Stadium  Dr
258,2014-00006329,02/12/14 09:15,02/12/14 10:11,Burglary,Suspended,250 block of  Stadium  Dr
259,2014-00006330,02/12/14 10:10,02/12/14 10:12,Injured Officer,CBE,Ellicott Hall at 256  Stadium  Dr
260,2014-00006335,02/12/14 08:30,02/12/14 10:42,Burglary,Arrest,250 block of  Stadium  Dr
261,2014-00006336,02/12/14 09:30,02/12/14 10:47,Burglary,Arrest,250 block of  Stadium  Dr
262,2014-00006342,02/12/14 08:00,02/12/14 12:07,Burglary,Suspended,250 block of  Stadium  Dr
263,2014-00006343,02/12/14 08:57,02/12/14 12:08,Suspicious Activity,Suspended,250 block of  Stadium  Dr
264,2014-00006346,02/12/14 12:17,02/12/14 12:17,Traffic Arrest,Arrest,Adelphi  Rd
265,2014-00006414,02/11/14 23:00,02/12/14 22:19,Burglary,Suspended,250 block of  Stadium  Dr
266,2014-00006430,02/13/14 00:40,02/13/14 00:40,Damage to State Property,CBE,Denton Hall at 252  Stadium  Dr
267,2014-00006431,02/13/14 01:02,02/13/14 01:02,Injured/Sick Person,CBE,Washington Hall at 23  Lehigh  Rd
268,2014-00006432,02/13/14 01:09,02/13/14 01:09,Fire,CBE,Chapel Field
269,2014-00006435,02/13/14 02:13,02/13/14 02:13,Injured/Sick Person,CBE,Hagerstown Hall at 258  Hagerstown  Dr
270,2014-00006445,02/13/14 03:00,02/13/14 08:43,Dept Property Damage/Loss,Unfounded,Fraternity Row
271,2014-00006456,02/12/14 21:15,02/13/14 14:54,Suspicious Activity,Active/Pending,250 block of  Stadium  Dr
272,2014-00006457,02/13/14 15:40,02/13/14 15:40,Injured/Sick Person,CBE,College  Ave
273,2014-00006467,02/13/14 16:50,02/13/14 17:50,CDS Violation,Arrest,Ellicott Hall at 256  Stadium  Dr
274,2014-00006468,02/13/14 18:31,02/13/14 18:31,CDS Violation,Arrest,Easton Hall at 253  Denton  Dr
275,2014-00006470,02/13/14 18:30,02/13/14 18:58,Injured/Sick Person,CBE,"Frat 10, Sigma Kappa Sorority at 10  Fraternity  Row"
276,2014-00006486,02/14/14 00:40,02/14/14 00:40,Injured/Sick Person,CBE,Chestertown Hall at 121  Valley  Dr
277,2014-00006488,02/14/14 01:08,02/14/14 01:08,Emergency Petition,CBE,"Litton, Police Services & Training Facility at 7101  51st  Ave"
278,2014-00006489,02/13/14 12:00,02/14/14 01:10,Vandalism,Active/Pending,Cambridge Hall at 96  Farm  Dr
279,2014-00006503,02/14/14 04:30,02/14/14 04:30,CDS Violation,Arrest,250 block of  Denton  Dr
280,2014-00006505,02/14/14 05:03,02/14/14 05:03,Emergency Petition,CBE,Denton Hall at 252  Stadium  Dr
281,2014-00006541,02/14/14 13:00,02/14/14 16:36,Dept Property Damage/Loss,CBE,9100 block of  Riverhill Rd
282,2014-00006550,02/14/14 18:00,02/14/14 18:11,Injured/Sick Person,CBE,Denton Hall at 252  Stadium  Dr
283,2014-00006630,02/15/14 01:19,02/15/14 01:19,Injured/Sick Person,CBE,410 block of  Denton  Dr
284,2014-00006633,02/15/14 01:51,02/15/14 01:51,Injured/Sick Person,CBE,"Alpha Sigma Phi, Frat 9 at 9  Fraternity  Row"
285,2014-00006635,02/15/14 02:10,02/15/14 02:13,Injured/Sick Person,CBE,"Frat 14, Zeta Beta Tau Fraternity at 14  Fraternity  Row"
286,2014-00006636,02/15/14 02:18,02/15/14 02:18,Injured/Sick Person,CBE,Dorchester Hall at 64  Campus  Dr
287,2014-00006667,02/15/14,02/15/14 12:07,Vandalism,Active/Pending,Montgomery Hall at 32  Lehigh  Rd
288,2014-00006670,02/15/14 13:20,02/15/14 13:22,Injured/Sick Person,CBE,"Cole Field House, Cole Student Activities Building, Driscoll Center at 162  Union  Dr"
289,2014-00006710,02/15/14 22:47,02/15/14 22:47,Injured/Sick Person,CBE,Oakland Hall at 419  Denton  Dr
290,2014-00006729,02/16/14 00:06,02/16/14 00:06,Injured/Sick Person,CBE,8000 block of  Boteler  Ln
291,2014-00006737,02/16/14 01:00,02/16/14 01:28,Injured/Sick Person,CBE,University Courtyard #6 at 8600  Boteler  La
292,2014-00006739,02/16/14 01:43,02/16/14 01:43,DWI/DUI,Arrest,Paint Branch  Dr
293,2014-00006742,02/16/14 02:22,02/16/14 02:22,DWI/DUI,Arrest,Baltimore  Ave
294,2014-00006746,02/16/14 02:30,02/16/14 02:33,Injured/Sick Person,CBE,Hagerstown Hall at 258  Hagerstown  Dr
295,2014-00006749,02/16/14 03:56,02/16/14 03:56,CDS Violation,Arrest,"Arena Drive Parking Garage, Lot 6, PG4, Terrapin Trail Parking Garage at 403  Terrapin  Tr"
296,2014-00006781,02/16/14 11:05,02/16/14 12:00,Theft,Suspended,4  Rossborough  La
297,2014-00006858,02/16/14 20:28,02/16/14 20:28,CDS Violation,Arrest,Paint Branch  Py
298,2014-00006862,02/16/14 21:04,02/16/14 21:05,Recovered Stolen Motor Vehicle,Active/Pending,Baltimore  Ave
299,2014-00006866,02/16/14 21:25,02/16/14 21:36,Injured/Sick Person,CBE,"Cole Field House, Cole Student Activities Building, Driscoll Center at 162  Union  Dr"
300,2014-00006895,02/17/14 02:30,02/17/14 02:32,DWI/DUI,Arrest,Hartwick  Rd
301,2014-00006896,02/17/14 03:29,02/17/14 03:29,Warrant/Summons Service,Arrest,Berwyn House  Rd
302,2014-00006921,02/12/14 09:00,02/17/14 10:28,Burglary,Suspended,250 block of  Stadium  Dr
303,2014-00006942,02/17/14 10:00,02/17/14 14:31,Theft,Suspended,35  Library  La
304,2014-00006947,01/17/14 16:00,02/17/14 15:27,Theft,Unfounded,"Clarice Smith Performing Arts Center, CSPAC at 386  Stadium  Dr"
305,2014-00006948,02/17/14 15:40,02/17/14 15:40,CDS Violation,Arrest,Paint Branch  Py
306,2014-00006956,02/17/14 17:18,02/17/14 17:18,CDS Violation,Arrest,"Eppley Recreation Center, ERC at 68  Farm  Dr"
307,2014-00006971,02/17/14 19:59,02/17/14 19:59,Injured/Sick Person,CBE,Plant Sciences Building at 36  Field House  Dr
308,2014-00006991,02/17/14 21:53,02/17/14 21:53,CDS Violation,Arrest,Hagerstown Hall at 258  Hagerstown  Dr
309,2014-00007058,02/18/14 07:41,02/18/14 07:41,Traffic Arrest,Arrest,Baltimore  Ave
310,2014-00007062,01/06/14,02/18/14 08:34,Theft,Unfounded,Plant Sciences Building at 36  Field House  Dr
311,2014-00007064,02/17/14 19:45,02/18/14 11:02,Theft,Active/Pending,48  Chapel  Dr
312,2014-00007112,02/18/14 17:33,02/18/14 17:38,Assist Other Agency,CBE,Knox  Rd
313,2014-00007125,02/18/14 19:38,02/18/14 19:38,CDS Violation,Arrest,Berwyn  Rd
314,2014-00007149,02/18/14 21:30,02/18/14 21:47,Emergency Petition,CBE,Hagerstown Hall at 258  Hagerstown  Dr
315,2014-00007177,02/19/14 01:20,02/19/14 01:20,Weapon Violation,Arrest,Baltimore  Ave
316,2014-00007199,02/19/14 08:07,02/19/14 08:07,Injured/Sick Person,CBE,Presidential  Dr
317,2014-00007210,02/18/14 16:30,02/19/14 08:50,Vandalism,Suspended,Commons 5 at 6903  Preinkert  Dr
318,2014-00007243,02/19/14 10:00,02/19/14 12:24,Theft,Suspended,91  Regents  Dr
319,2014-00007246,02/19/14 12:00,02/19/14 12:50,Injured/Sick Person,Active/Pending,"H.J. Patterson Hall, HJ Patterson Hall at 73  Campus  Dr"
320,2014-00007257,02/15/14 03:28,02/19/14 14:26,Other Incident,Active/Pending,Main Administration Building at 77  Regents  Dr
321,2014-00007267,02/19/14 08:00,02/19/14 16:36,Suspicious Person/Auto,CBE,Alpha Chi Omega Sorority at 4525  College  Ave
322,2014-00007278,02/19/14 08:30,02/19/14 18:44,Theft,Arrest,68  Farm  Dr
323,2014-00007287,02/19/14 20:00,02/19/14 20:20,Injured/Sick Person,CBE,Oakland Hall at 419  Denton  Dr
324,2014-00007303,02/19/14 23:01,02/19/14 23:01,Injured/Sick Person,CBE,"Stamp Student Union, Student Union, Union at 163  Campus  Dr"
325,2014-00007310,02/19/14 23:28,02/19/14 23:28,CDS Violation,Arrest,Oakland Hall at 419  Denton  Dr
326,2014-00007329,02/20/14 01:44,02/20/14 01:44,Disorderly Conduct,Arrest,Baltimore  Ave
327,2014-00007346,02/20/14 08:15,02/20/14 08:30,Injured/Sick Person,CBE,"Motor Pool, Severn Building, Terp Trader, Washington Post Building at 5245  Greenbelt  Rd"
328,2014-00007356,02/14/14 12:00,02/20/14 10:41,Damage to State Property,Suspended,Service Building at 3  Rossborough  La
329,2014-00007373,02/14/14 14:00,02/20/14 13:32,Accident - Departmental,CBE,Chapel Field
330,2014-00007389,02/13/14 03:00,02/20/14 17:13,Damage to State Property,CBE,"CIU/SERT, Police Substation at 18  Yale  Ave"
331,2014-00007390,02/20/14 16:00,02/20/14 17:14,Theft,Active/Pending,35  Library  La
332,2014-00007398,02/20/14 16:40,02/20/14 18:05,Theft,Active/Pending,160 block of  Campus  Dr
333,2014-00007468,02/21/14 00:39,02/21/14 00:39,CDS Violation,Arrest,University  Bl
334,2014-00007472,02/21/14 01:49,02/21/14 01:49,DWI/DUI,Arrest,Baltimore  Ave
335,2014-00007475,02/21/14 02:10,02/21/14 02:14,Traffic Arrest,Arrest,"College Park Metro, Metro at 4600  River  Rd"
336,2014-00007506,02/21/14 10:48,02/21/14 10:48,Injured/Sick Person,CBE,"S Campus Surge, Susquehanna Hall at 233  Lehigh  Rd"
337,2014-00007537,02/20/14 18:00,02/21/14 16:28,Theft,Active/Pending,4  Rossborough  La
338,2014-00007549,02/21/14 18:36,02/21/14 18:36,Injured/Sick Person,CBE,UMUC Hotel at 348  Ehrensberger  Dr
339,2014-00007570,02/21/14 20:35,02/21/14 20:35,CDS Violation,Arrest,Baltimore  Ave
340,2014-00007615,02/21/14 23:24,02/21/14 23:24,CDS Violation,Arrest,Baltimore  Ave
341,2014-00007643,02/22/14 01:04,02/22/14 01:04,CDS Violation,Arrest,Adelphi  Rd
342,2014-00007647,02/22/14 01:13,02/22/14 01:13,Injured/Sick Person,CBE,"Alpha Epsilon Phi Sorority, Frat 11 at 11  Fraternity  Row"
343,2014-00007652,02/22/14 02:00,02/22/14 02:00,DWI/DUI,Arrest,Baltimore  Ave
344,2014-00007708,02/22/14 13:06,02/22/14 14:22,Lost Property,CBE,39  Mowatt  La
345,2014-00007728,02/22/14 16:00,02/22/14 17:45,Theft,Arrest,68  Farm  Dr
346,2014-00007729,02/22/14 16:00,02/22/14 17:57,Theft,Active/Pending,68  Farm  Dr
347,2014-00007733,02/22/14 17:57,02/22/14 18:37,Theft,Active/Pending,68  Farm  Dr
348,2014-00007750,02/22/14 20:53,02/22/14 20:53,Suspicious Activity,CBE,Hillel Jewish Center at 973  Mowatt  La
349,2014-00007791,02/23/14 01:14,02/23/14 01:14,CDS Violation,Arrest,North Gate at 295  Campus  Dr
350,2014-00007812,02/23/14 02:43,02/23/14 02:43,Assist Other Agency,CBE,Preinkert Hall at 54  Preinkert  Dr
351,2014-00007813,02/23/14 03:10,02/23/14 03:16,Injured/Sick Person,CBE,Commons 7 at 6801  Preinkert  Dr
352,2014-00007824,02/23/14 06:28,02/23/14 06:28,Fire,CBE,"Frat 2, Pi Kappa Alpha Fraternity at 2  Fraternity  Row"
353,2014-00007865,02/23/14 13:30,02/23/14 14:21,Theft from Auto,Suspended,Lot 2g
354,2014-00007899,02/23/14 16:00,02/23/14 18:35,Theft,Arrest,68  Farm  Dr
355,2014-00007912,02/23/14 22:19,02/23/14 22:19,CDS Violation,Arrest,Oakland Hall at 419  Denton  Dr
356,2014-00007933,02/24/14,02/24/14 04:33,Telephone/EMail Misuse,CBE,Commons 1 at 4230  Knox  Rd
357,2014-00008034,02/24/14 21:21,02/24/14 21:21,Injured/Sick Person,CBE,"DOTS, Lot 5, PG2, Regents Drive Parking Garage, WAM Lab at 202  Regents  Dr"
358,2014-00008059,02/22/14 19:00,02/24/14 23:40,Dept Property Damage/Loss,CBE,Service Building at 3  Rossborough  La
359,2014-00008062,02/24/14 23:53,02/24/14 23:53,CDS Violation,Arrest,Greenbelt  Rd
360,2014-00008070,02/25/14 01:30,02/25/14 01:30,CDS Violation,Arrest,8600 block of  Boteler  La
361,2014-00008081,02/25/14 02:47,02/25/14 02:47,CDS Violation,Arrest,Baltimore  Ave
362,2014-00008108,02/25/14 10:21,02/25/14 10:21,Other Incident,Suspended,"TAP, Technology Advancement Program Building at 387  Technology  Dr"
363,2014-00008109,02/25/14 10:23,02/25/14 10:23,Theft,Arrest,Service Building at 3  Rossborough  La
364,2014-00008130,02/25/14 14:34,02/25/14 14:34,Warrant/Summons Service,Arrest,Campus  Dr
365,2014-00008134,02/25/14 14:30,02/25/14 14:50,Theft,Suspended,91  Regents  Dr
366,2014-00008135,02/25/14 15:00,02/25/14 15:35,CDS Violation,Arrest,Zips Dry Clean Depo at 7215  Baltimore  Ave
367,2014-00008136,02/25/14 15:34,02/25/14 15:34,Suspicious Person/Auto,CBE,Chemical & Nuclear Engineering at 90  Stadium  Dr
368,2014-00008144,02/25/14 15:30,02/25/14 16:38,Burglary,Suspended,Bioscience Research Building at 413  Field House  Dr
369,2014-00008149,02/25/14 17:20,02/25/14 17:25,Threat Assessment,Unfounded,Mckeldin Library at 35  Library  La
370,2014-00008152,02/25/14 16:15,02/25/14 18:30,Theft,Arrest,68  Farm  Dr
371,2014-00008223,02/26/14 03:29,02/26/14 03:29,DWI/DUI,Arrest,Paint Branch  Dr
372,2014-00008248,02/26/14 08:30,02/26/14 10:30,Theft,Active/Pending,91  Regents  Dr
373,2014-00008253,02/19/14 12:00,02/26/14 12:19,Theft,Suspended,82  Regents  Dr
374,2014-00008264,02/26/14 14:56,02/26/14 14:56,CDS Violation,Arrest,Baltimore  Ave
375,2014-00008296,02/26/14 20:57,02/26/14 20:57,Fire,CBE,Commons 2 at 4250  Knox  Rd
376,2014-00008317,02/26/14 23:43,02/26/14 23:43,DWI/DUI,Arrest,University  Bl
377,2014-00008333,02/27/14 01:29,02/27/14 01:29,CDS Violation,Arrest,West Gate at 297  Stadium  Dr
378,2014-00008338,02/27/14 03:55,02/27/14 03:55,Disorderly Conduct,Arrest,"Stamp Student Union, Student Union, Union at 163  Campus  Dr"
379,2014-00008341,02/27/14 00:30,02/27/14 05:36,Assist Other Agency,CBE,4800 block of  College  Ave
380,2014-00008387,02/27/14 15:31,02/27/14 15:31,CDS Violation,Arrest,Ellicott Hall at 256  Stadium  Dr
381,2014-00008408,02/27/14 19:32,02/27/14 19:32,Emergency Petition,Active/Pending,8400 block of  Boteler  Ln
382,2014-00008455,02/28/14 02:11,02/28/14 02:11,DWI/DUI,Arrest,Lot GG1
383,2014-00008462,02/28/14 02:31,02/28/14 02:31,Burglary,Arrest,"Clarice Smith Performing Arts Center, CSPAC at 386  Stadium  Dr"
384,2014-00008498,02/27/14 22:00,02/28/14 10:53,Vandalism,Active/Pending,"Chapel, Memorial Chapel at 9  Chapel  Dr"
385,2014-00008499,02/28/14 10:30,02/28/14 10:55,Suspicious Person/Auto,Active/Pending,Lot 4B
386,2014-00008523,02/28/14 14:44,02/28/14 14:44,Injured/Sick Person,CBE,"John S. Toll Physics Building, Physics Building at 82  Regents  Dr"
387,2014-00008531,02/28/14 12:20,02/28/14 15:30,Dept Property Damage/Loss,CBE,"CIU/SERT, Police Substation at 18  Yale  Ave"
388,2014-00008604,03/01/14 00:45,03/01/14 00:45,Alcohol Violation,Arrest,8200 block of  Boteler  Ln
389,2014-00008618,03/01/14 03:15,03/01/14 03:24,Injured/Sick Person,CBE,Knox  Rd
390,2014-00008620,03/01/14 04:17,03/01/14 04:17,Injured/Sick Person,CBE,Hagerstown Hall at 258  Hagerstown  Dr
391,2014-00008655,02/28/14 18:00,03/01/14 12:43,Theft,Arrest,160 block of  Campus  Dr
392,2014-00008662,03/01/14 13:40,03/01/14 13:40,Fraud,Arrest,University  Bl
393,2014-00008664,02/28/14 17:00,03/01/14 13:59,Vandalism,Active/Pending,Lot 16f
394,2014-00008671,03/01/14 16:00,03/01/14 16:14,Assault,Suspended,360 block of  Azalea  La
395,2014-00008734,03/02/14 00:03,03/02/14 00:03,DWI/DUI,Arrest,Baltimore  Ave
396,2014-00008756,03/02/14 01:51,03/02/14 01:51,CDS Violation,Arrest,Campus S Dr
397,2014-00008778,03/02/14 10:27,03/02/14 10:27,Warrant/Summons Service,Arrest,"College Park Shopping Center, CVS at 7300  Baltimore  Ave"
398,2014-00008789,03/02/14 12:30,03/02/14 12:33,Injured/Sick Person,CBE,Ellicott Area Dining Hall at 257  Farm  Dr
399,2014-00008817,03/02/14 19:08,03/02/14 19:08,Trespassing,Arrest,Lot HH1
400,2014-00008818,02/27/14 22:00,03/02/14 19:20,Vandalism,Suspended,Lot 16e
401,2014-00008829,03/02/14 19:20,03/02/14 21:51,Theft,Active/Pending,35  Library  La
402,2014-00008833,03/02/14 22:40,03/02/14 22:40,Alcohol Violation,Arrest,South Gate at 401  Regents  Dr
403,2014-00008860,03/02/14 19:45,03/03/14 14:00,Theft,Suspended,"Clarice Smith Performing Arts Center, CSPAC at 386  Stadium  Dr"
404,2014-00008863,03/03/14 15:00,03/03/14 15:19,Injured/Sick Person,CBE,"Leonardtown #248, Leonardtown at 248  Yale  Ave"
405,2014-00008864,03/03/14 15:47,03/03/14 15:47,Injured/Sick Person,CBE,Center for Young Children at 381  Denton  Dr
406,2014-00008865,03/03/14 15:54,03/03/14 15:54,Check on the  Welfare,CBE,410 block of  Denton  Dr
407,2014-00008871,03/01/14 00:30,03/03/14 18:15,Vandalism,Suspended,Lot K1
408,2014-00008873,03/03/14 19:48,03/03/14 19:48,Theft,Arrest,Somerset Hall at 63  Preinkert  Dr
409,2014-00008885,03/04/14 01:15,03/04/14 01:20,Alcohol Violation,Arrest,250 block of  Hagerstown  Dr
410,2014-00008900,03/04/14 02:37,03/04/14 06:39,Dept Property Damage/Loss,CBE,Service Building at 3  Rossborough  La
411,2014-00008938,03/04/14 15:29,03/04/14 15:29,Damage to State Property,CBE,"HHP, PERH, Public Health, School of Public Health Building at 255  Valley  Dr"
412,2014-00008945,03/04/14 16:50,03/04/14 16:50,Trespassing,CBE,Ritchie Coliseum at 4  Rossborough  La
413,2014-00008947,03/04/14 17:42,03/04/14 18:08,Theft,Active/Pending,"Stamp Student Union, Student Union, Union at 163  Campus  Dr"
414,2014-00008978,03/04/14 23:10,03/04/14 23:10,Other Incident,CBE,Motor Transportation Facility at 11  Greenhouse  Dr
415,2014-00008982,03/04/14 14:45,03/04/14 23:37,Theft,Active/Pending,University  Bl
416,2014-00009001,03/05/14 01:17,03/05/14 01:17,DWI/DUI,Arrest,Metzerott  Rd
417,2014-00009003,03/05/14 01:21,03/05/14 01:21,Injured/Sick Person,CBE,Cumberland Hall at 122  Valley  Dr
418,2014-00009017,03/05/14 08:22,03/05/14 08:22,CDS Violation,Arrest,Adelphi  Rd
419,2014-00009020,02/28/14,03/05/14 08:58,Theft,Unfounded,"A.V. Williams Building, AV Williams at 115  Paint Branch  Dr"
420,2014-00009022,03/05/14 09:30,03/05/14 09:30,Emergency Petition,CBE,Health Center at 140  Campus  Dr
421,2014-00009028,03/04/14 22:00,03/05/14 10:32,Other Incident,CBE,Service Building at 3  Rossborough  La
422,2014-00009065,03/05/14 16:46,03/05/14 16:46,Suspicious Person/Auto,CBE,"Stamp Student Union, Student Union, Union at 163  Campus  Dr"
423,2014-00009069,03/05/14 17:11,03/05/14 17:11,Injured/Sick Person,CBE,"H.J. Patterson Hall, HJ Patterson Hall at 73  Campus  Dr"
424,2014-00009073,03/05/14 11:30,03/05/14 17:22,Theft,Suspended,Hagerstown Hall at 258  Hagerstown  Dr
425,2014-00009079,03/02/14 23:00,03/05/14 19:02,Stolen Motor Vehicle,Suspended,"Lot 19, Lot U2, Mowatt Garage, Mowatt Lane Garage, Mowatt Lane Parking Garage, PG5 at 404  Mowatt  La"
426,2014-00009088,03/05/14 20:40,03/05/14 20:45,CDS Violation,Arrest,"Leonardtown #245, Leonardtown at 245  Yale  Ave"
427,2014-00009097,03/05/14 22:07,03/05/14 22:07,CDS Violation,Arrest,Caroline Hall at 70  Preinkert  Dr
428,2014-00009116,03/06/14 01:41,03/06/14 01:41,DWI/DUI,Arrest,Baltimore  Ave
429,2014-00009151,03/03/14 14:00,03/06/14 09:49,Theft,Suspended,"Computer Science Instructional Center, CSIC at 406  Paint Branch  Dr"
430,2014-00009157,03/06/14 10:54,03/06/14 10:54,Warrant/Summons Service,Arrest,Baltimore  Ave
431,2014-00009169,03/06/14 14:21,03/06/14 14:21,CDS Violation,Arrest,Paint Branch  Py
432,2014-00009198,03/06/14 20:31,03/06/14 20:31,Accident - Departmental,CBE,University  Bl
433,2014-00009257,03/07/14 02:09,03/07/14 02:09,DWI/DUI,Arrest,Town Hall Liquors at 8135  Baltimore  Ave
434,2014-00009312,02/28/14 14:00,03/07/14 14:04,Suspicious Person/Auto,CBE,Architecture Building at 145  Mowatt  La
435,2014-00009316,03/07/14 15:23,03/07/14 15:23,Fire,CBE,"H.J. Patterson Hall, HJ Patterson Hall at 73  Campus  Dr"
436,2014-00009362,03/07/14 23:01,03/07/14 23:01,Warrant/Summons Service,Arrest,Guilford  Dr
437,2014-00009370,03/07/14 23:30,03/07/14 23:30,Injured/Sick Person,CBE,Baltimore  Ave
438,2014-00009374,03/07/14 23:54,03/07/14 23:54,Injured/Sick Person,Active/Pending,Cambridge Community Center at 97  Valley  Dr
439,2014-00009392,03/08/14 02:48,03/08/14 02:48,Disorderly Conduct,Arrest,98  Valley  Dr
440,2014-00009395,03/08/14 03:06,03/08/14 03:06,Injured/Sick Person,CBE,Cumberland Hall at 122  Valley  Dr
441,2014-00009400,03/08/14 03:56,03/08/14 03:57,DWI/DUI,Arrest,Baltimore  Ave
442,2014-00009401,03/08/14 03:30,03/08/14 04:09,Other Incident,CBE,250 block of  Farm  Dr
443,2014-00009441,03/08/14 15:11,03/08/14 15:11,Injured/Sick Person,CBE,Cumberland Hall at 122  Valley  Dr
444,2014-00009453,03/08/14 16:45,03/08/14 17:53,Theft,Arrest,"Eppley Recreation Center, ERC at 68  Farm  Dr"
